Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0233,12/26/2024,12/29/2024,MCDONALD'S M6299 OF HI,Food & Drink,Sale,-13.90,
0233,12/26/2024,12/27/2024,SQ *POLYNESIAN CULTURAL C,Food & Drink,Sale,-8.00,
0233,12/27/2024,12/27/2024,Subway 3067,Food & Drink,Sale,-38.72,
0233,12/25/2024,12/27/2024,ABC #39 HAWAII,Merchandise & Inventory,Sale,-7.06,
0233,12/26/2024,12/27/2024,SQ *POLYNESIAN CULTURAL C,Food & Drink,Sale,-48.50,
0233,12/25/2024,12/27/2024,POLYNESIAN CULTURAL CNTR,Entertainment,Sale,-313.76,
0233,12/26/2024,12/27/2024,SQ *POLYNESIAN CULTURAL C,Food & Drink,Sale,-8.00,
0233,12/25/2024,12/26/2024,SHERATON WAIKIKI PARKING,Travel,Sale,-25.00,
0233,12/25/2024,12/26/2024,CALI PIZZA KITC INC #035,Food & Drink,Sale,-72.53,
0233,12/25/2024,12/26/2024,CURSOR  AI POWERED IDE,Office & Shipping,Sale,-20.00,
0233,12/24/2024,12/26/2024,MCDONALD'S M6002 OF HI,Food & Drink,Sale,-13.59,
0233,12/24/2024,12/26/2024,GRAND NANILOA HOTEL HILO,Travel,Sale,-144.38,
0233,12/26/2024,12/26/2024,TST*NOI THAI CUISINE - H,Food & Drink,Sale,-143.10,
0233,12/24/2024,12/26/2024,ROCK-A-HULA AUTHNET,Entertainment,Sale,-328.00,
0233,12/23/2024,12/25/2024,KTA SUPER STORES 03A,Food & Drink,Sale,-23.13,
0233,12/23/2024,12/24/2024,GDP*Manuela Malasada Co,Food & Drink,Sale,-69.55,
0233,12/20/2024,12/20/2024,CODEIUM.COM,Office & Shipping,Sale,-106.60,
0233,12/17/2024,12/18/2024,HELLO INDIA,Food & Drink,Sale,-25.94,
0233,12/14/2024,12/16/2024,QT 997 INSIDE,Gas,Sale,-4.99,
0233,12/15/2024,12/16/2024,GAMMA.APP,Office & Shipping,Sale,-96.00,
0233,12/14/2024,12/15/2024,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-21.28,
0233,12/12/2024,12/15/2024,HELLO INDIA,Food & Drink,Sale,-35.67,
0233,12/12/2024,12/15/2024,Nyx*Dark Moon LLC,Food & Drink,Sale,-1.00,
0233,12/12/2024,12/13/2024,SQ *DESI VILLAGE,Food & Drink,Sale,-7.62,
0233,12/10/2024,12/10/2024,AUTOMATIC PAYMENT - THANK,,Payment,827.42,
0233,12/08/2024,12/09/2024,BABAI HOTEL,Food & Drink,Sale,-200.26,
0233,12/04/2024,12/05/2024,YUMMY THAI,Food & Drink,Sale,-124.30,
0233,12/03/2024,12/04/2024,365 COMPANY,Education,Sale,-62.58,
